AL001;ANNISTON/FORT MCCLELLAN AL 
AL002;FORT RUCKER AL 
AL003;HUNTSVILLE AL 
AL004;MOBILE AL 
AL005;MONTGOMERY AL 
AL006;AUBURN AL 
AL007;BIRMINGHAM AL
AL008;TUSCALOOSA AL
AR010;LITTLE ROCK AR
AR011;PINE BLUFF AR
AR012;FORT CHAFFEE/FORT SMITH AR
AZ013;PHOENIX AZ
AZ014;FORT HUACHUCA AZ
AZ015;DAVIS-MONTHAN AFB AZ
AZ016;YUMA AZ
CA018;OAKLAND CA
CA019;SAN FRANCISCO CA
CA021;CHINA LAKE NAVWEPCEN CA
CA022;FRESNO CA
CA023;LEMORE NAS CA
CA024;CAMP PENDLETON CA
CA025;VENTURA CA
CA026;VANDENBERG AFB CA
CA027;MARIN/SONOMA CA
CA028;BARSTOW/FORT IRWIN CA
CA031;SAN BERNARDINO CA
CA032;TWENTY NINE PALMS MCB CA
CA033;BEALE AFB CA
CA034;SACRAMENTO CA
CA035;STOCKTON CA
CA036;VALLEJO/TRAVIS AFB CA
CA037;LOS ANGELES CA
CA038;SAN DIEGO CA
CA039;MONTEREY CA
CA040;BAKERSFIELD CA
CA041;RIVERSIDE CA
CA042;HUMBOLDT COUNTY CA
CA044;SANTA CLARA COUNTY CA
CO045;DENVER CO
CO046;COLORADO SPRINGS CO
CO047;FORT COLLINS CO
CT049;NEW LONDON CT
CT050;HARTFORD CT
CT051;NEW HAVEN/FAIRFIELD CT
DC053;WASHINGTON DC
DE054;DOVER AFB DE
DE055;REHOBOTH BEACH DE
FL056;EGLIN AFB FL
FL057;GAINESVILLE FL
FL058;JACKSONVILLE FL
FL059;PATRICK AFB FL
FL061;MIAMI/FORT LAUDERDALE FL
FL062;ORLANDO FL
FL063;PANAMA CITY FL
FL064;PENSACOLA FL
FL065;TALLAHASSEE FL
FL066;TAMPA FL
FL067;WEST PALM BEACH FL
FL068;OCALA FL
FL069;KEY WEST FL
FL070;VOLUSIA COUNTY FL
GA071;ATLANTA GA
GA072;ALBANY GA
GA073;FORT GORDON GA
GA074;KINGS BAY/BRUNSWICK GA
GA075;FORT BENNING GA
GA076;ROBINS AFB GA
GA077;SAVANNAH GA
GA078;ATHENS GA
GA079;DAHLONEGH GA
GA080;FORT STEWART GA
GA081;MOODY AFB GA
IA082;DES MOINES IA
IA083;AMES IA
ID084;BOISE ID
ID085;IDAHO FALLS ID
ID086;MOUNTAIN HOME AFB ID
ID087;POCATELLO ID
IL088;CHAMPAIGN/URBANA IL
IL089;ROCK ISLAND IL
IL090;PEORIA IL
OR091;MEDFORD OR
IL092;GREAT LAKES NAVTRACEN IL
IL093;SCOTT AFB IL
IN094;INDIANAPOLIS IN
IN096;LAFAYETTE IN
IN097;FORT WAYNE IN
IN099;SOUTH BEND IN
KS100;FORT RILEY KS
KS101;WICHITA/MCCONNELL AFB KS
KS102;FORT LEAVENWORTH KS
KS104;LAWRENCE KS
KS105;TOPEKA KS
KY106;FORT CAMPBELL KY
KY107;LEXINGTON KY
KY109;LOUISVILLE KY
KY110;FORT KNOX KY
KY112;OWENSBORO KY
LA113;ALEXANDRIA LA
LA114;BATON ROUGE LA
LA115;FORT POLK LA
LA116;NEW ORLEANS LA
LA117;SHREVEPORT/BARKSDALE AFB LA
LA118;LAFAYETTE COUNTY LA
MA119;NANTUCKET MA
MA120;BOSTON MA
MA121;CAPE COD MA
MA122;WORCESTER MA
MA123;FORT DEVENS/AYER MA
MA124;PLYMOUTH MA
MA125;ESSEX CO MA
MA126;HAMPDEN COUNTY MA
MD127;ABERDEEN PROVING GROUNDS MD
MD128;ANNAPOLIS MD
MD129;BALTIMORE MD
MD130;FORT DETRICK MD
MD133;FORT G. G. MEADE MD
MD134;INDIAN HEAD NAVORDSTA MD
MD135;PATUXENT RIVER MD
ME136;BRUNSWICK ME
ME137;CARIBOU/LIMESTONE ME
ME139;PORTLAND ME
ME141;COASTAL MAINE ME
MI142;DETROIT MI
MI143;KI SAWYER AFB MI
MI145;SAULT STE MARIE MI
MI146;TRAVERSE CITY MI
MI148;GRAND HAVEN MI
MI149;PORT HURON MI
MA151;MARTHA'S VINEYARD MA
MI152;BATTLE CREEK/KALAMAZOO MI
MI153;LANSING MI
MI154;GRAND RAPIDS MI
MI155;ANN ARBOR MI
MI156;SAGINAW MI
MI157;ALPENA MI
MN158;DULUTH MN
MN159;MINNEAPOLIS/ST PAUL MN
MO160;KANSAS CITY MO
MO161;ST. LOUIS MO
MO162;WHITEMAN AFB MO
MO163;FORT LEONARD WOOD MO
MO164;SPRINGFIELD MO
MO165;COLUMBIA/JEFFERSON CITY MO
MS168;GULFPORT MS
MS169;COLUMBUS AFB MS
MS170;JACKSON MS
MS171;MERIDIAN MS
MS172;HATTIESBURG MS
