AK400,539.70,579.94,692.21,692.51,756.72,768.28,836.45,942.76,986.28,899.01,988.06,1055.44,1196.57,1263.17,898.76,999.07,1126.34,825.21,923.70,1099.44,1240.98,1270.44,1277.33,1279.13
AK401,567.00,567.00,668.62,692.53,774.14,779.59,890.87,1029.75,1054.88,906.83,996.46,1089.69,1273.67,1340.27,916.87,1052.10,1188.43,789.16,947.44,1152.92,1290.41,1332.66,1333.97,1333.96
AK402,699.00,699.00,699.00,699.00,758.73,786.87,877.20,1017.01,1040.24,908.97,996.82,1091.20,1287.58,1354.18,916.95,1048.34,1186.34,804.24,958.24,1159.20,1290.34,1321.72,1323.01,1323.81
AK403,636.00,641.64,774.87,780.90,852.11,906.98,964.23,1119.58,1150.57,959.68,1034.01,1134.41,1326.28,1392.88,960.29,1095.68,1239.95,872.78,994.28,1210.74,1330.15,1340.84,1342.16,1342.15
AK404,491.00,491.00,540.24,586.61,697.99,722.65,804.40,941.06,945.09,778.17,850.34,951.65,1139.45,1206.05,786.75,924.69,1047.01,637.16,794.50,1051.50,1167.76,1156.20,1176.27,1176.26
AK405,466.00,466.00,499.19,531.22,620.66,654.10,713.64,806.33,877.82,706.50,777.01,874.19,1062.73,1129.33,718.79,842.66,955.69,570.10,712.14,989.69,1054.29,1090.82,1091.88,1095.21
AL001,254.00,254.00,287.40,293.10,336.90,365.10,403.50,472.20,514.50,391.50,467.40,526.50,626.40,693.00,439.20,510.60,600.90,371.70,441.30,556.50,694.20,749.10,777.90,847.80
AL002,279.00,279.00,287.40,293.10,336.90,365.10,403.50,472.20,514.50,391.50,467.40,526.50,626.40,693.00,439.20,510.60,600.90,371.70,441.30,556.50,694.20,749.10,777.90,847.80
AL003,339.00,339.00,339.00,339.00,339.00,365.10,403.50,472.20,514.50,414.50,467.40,526.50,626.40,693.00,439.20,510.60,600.90,371.70,441.30,556.50,694.20,749.10,777.90,847.80
AL004,351.00,351.00,351.00,351.00,365.19,393.45,432.54,509.26,546.19,447.98,520.79,549.14,647.78,714.38,439.20,526.32,622.69,382.36,457.25,569.93,699.08,770.74,788.18,847.80
AL005,349.00,349.00,349.00,349.00,361.43,407.43,442.50,533.80,565.62,436.25,500.23,562.59,672.27,738.87,439.20,550.45,600.90,406.76,467.81,578.90,719.50,749.10,777.90,847.80
