AK400;KETCHIKAN, AK
AK401;SITKA, AK
AK402;JUNEAU, AK
AK403;KODIAK ISLAND, AK
AK404;ANCHORAGE, AK
AK405;FAIRBANKS, AK
AL001;ANNISTON/FORT MCCLELLAN, AL
AL002;FORT RUCKER, AL
AL003;HUNTSVILLE, AL
AL004;MOBILE, AL
AL005;MONTGOMERY, AL
AL006;AUBURN, AL
AL007;BIRMINGHAM, AL
AL008;TUSCALOOSA, AL
AR010;LITTLE ROCK, AR
AR011;PINE BLUFF, AR
AR012;FORT CHAFFEE/FORT SMITH, AR
AR411;FAYETTEVILLE, AR
AR419;JONESBORO, AR
AZ013;PHOENIX, AZ
AZ014;FORT HUACHUCA, AZ
AZ015;DAVIS-MONTHAN AFB, AZ
AZ016;YUMA, AZ
CA018;OAKLAND, CA
CA019;SAN FRANCISCO, CA
CA021;CHINA LAKE NAVWEPCEN, CA
CA022;FRESNO, CA
CA023;LEMOORE NAS, CA
CA024;CAMP PENDLETON, CA
CA025;VENTURA, CA
CA026;VANDENBERG AFB, CA
CA027;MARIN/SONOMA, CA
CA028;BARSTOW/FORT IRWIN, CA
CA031;SAN BERNARDINO, CA
CA032;TWENTY NINE PALMS MCB, CA
CA033;BEALE AFB, CA
CA034;SACRAMENTO, CA
CA035;STOCKTON, CA
CA036;VALLEJO/TRAVIS AFB, CA
CA037;LOS ANGELES, CA
CA038;SAN DIEGO, CA
CA039;MONTEREY, CA
CA040;BAKERSFIELD, CA
CA041;RIVERSIDE, CA
CA042;HUMBOLDT COUNTY, CA
CA044;SANTA CLARA COUNTY, CA
CA392;SAN LUIS OBISPO, CA
CA393;BRIDGEPORT, CA
CA420;EL CENTRO, CA
CA421;FORT BRAGG, CA
CA457;EDWARDS AFB/PALMDALE, CA
CO045;DENVER, CO
CO046;COLORADO SPRINGS, CO
CO047;FORT COLLINS, CO
CO422;BOULDER, CO
CT049;NEW LONDON, CT
CT050;HARTFORD, CT
CT051;NEW HAVEN/FAIRFIELD, CT
DC053;WASHINGTON, DC METRO AREA
DE054;DOVER AFB, DE
DE055;REHOBOTH BEACH, DE
FL056;EGLIN AFB, FL
FL057;GAINESVILLE, FL
FL058;JACKSONVILLE, FL
FL059;PATRICK AFB, FL
FL061;MIAMI, FORT LAUDERDALE, FL
FL062;ORLANDO, FL
FL063;PANAMA CITY, FL
FL064;PENSACOLA, FL
FL065;TALLAHASSEE, FL
FL066;TAMPA, FL
FL067;WEST PALM BEACH, FL
FL068;OCALA, FL
FL069;FLORIDA KEYS, FL
FL070;VOLUSIA COUNTY, FL
FL397;POLK COUNTY, FL
FL423;FORT PIERCE, FL
FL424;FT MYERS BCH, FL
GA071;ATLANTA, GA
GA072;ALBANY, GA
GA073;FORT GORDON, GA
GA074;KINGS BAY/BRUNSWICK, GA
GA075;FORT BENNING, GA
GA076;ROBINS AFB, GA
GA077;SAVANNAH, GA
GA078;ATHENS, GA
GA079;DAHLONEGA, GA
GA080;FORT STEWART, GA
GA081;MOODY AFB, GA
HI407;MAUI COUNTY, HI
HI408;HONOLULU COUNTY, HI
HI409;HAWAII COUNTY, HI
HI414;KAUAI COUNTY,HI
IA082;DES MOINES, IA
IA083;AMES, IA
IA330;WATERLOO, IA
IA331;DUBUQUE, IA
IA332;CEDAR RAPIDS, IA
IA389;SIOUX CITY, IA
IA425;IOWA CITY, IA
ID084;BOISE, ID
ID085;IDAHO FALLS, ID
ID086;MOUNTAIN HOME AFB, ID
ID333;MOSCOW, ID/PULLMAN,WA
IL088;CHAMPAIGN/URBANA, IL
